email,name,dept,role,rpm,rpd,tpd
# role: admin | gm (总经理) | lead (部门负责人) | staff (普通职员)
# dept 可以留空（管理员和总经理通常不挂部门）。角色目前只用于报表和审计，不影响权限。
# rpm / rpd / tpd = 每分钟请求数 / 每天请求数 / 每天 token 数的上限。留空 = 用 Worker 的默认值
# （wrangler.jsonc 里的 QUOTA_*）；-1 = 不限；0 = 停用（人还在名单里但所有请求都被拒）。
# 建议：日常上限留空就好。给管理员和总经理放开 rpd/tpd（-1）但**保留 rpm 默认值**——
# 每分钟那道闸是防自动循环跑飞的，不是用来省钱的，谁都不该关掉。
# 把这个文件复制成 roster.csv 再填真实名单 —— roster.csv 已在 .gitignore 里，不会进仓库。
alice@example.com,张三,技术研发部,lead,,,
bob@example.com,李四,生产制造部,staff,,,
admin@example.com,王五,,admin,,-1,-1
